TC,case,0.5,0.9,1.3/1.45,1.8,2.4,ET
AH2017.HGX,615666,0,0,1,0,0,0
AH2017.HGX,615670,0,0,1,1,0,0
AH2017.HGX,615673,0,0,0,0,0,1
AH2017.HGX,615675,0,0,1,0,1,0
AH2017.HGX,615677,0,0,0,0,1,0
AH2017.HGX,615684,0,0,0,0,0,1
AH2017.HGX,615685,0,0,0,1,1,0
AH2017.HGX,615687,0,0,0,1,0,1
AH2017.HGX,615688,0,0,0,0,0,1
AH2017.HGX,615690,1,1,1,1,1,0
AH2017.HGX,615691,0,0,0,0,0,1
AH2017.HGX,615692,1,1,1,1,1,0
AH2017.HGX,615697,0,0,1,0,0,0
AH2017.HGX,615699,0,1,0,0,0,1
AH2017.HGX,615700,0,0,0,0,0,1
AH2017.HGX,615708,0,0,1,0,0,0
AH2017.HGX,615711,0,0,0,0,0,1
AH2017.HGX,615717,0,0,0,0,0,1
AH2017.HGX,615718,0,0,1,1,1,0
AH2017.HGX,615719,0,0,0,0,1,1
AH2017.HGX,HNTA,0,0,0,0,0,1
AH2017.HGX,HNTAA,1,1,1,1,1,1
AH2017.HGX,HNTAC,0,0,0,0,0,1
AH2017.HGX,HNTAH,0,0,0,0,0,1
AH2017.HGX,HTNAI,0,0,0,0,0,1
AH2017.HGX,HNTAK,0,0,0,0,0,1
AH2017.HGX,HNTAL,0,0,0,0,0,1
AH2017.HGX,HNTAN,0,0,0,0,0,1
AH2017.HGX,HNTAO,0,0,0,0,0,1
AH2017.HGX,HNTAP,0,0,0,0,0,1
AH2017.HGX,HNTAS,0,0,0,0,0,1
AH2017.HGX,HNTAV,0,0,0,0,0,1
AH2017.HGX,HNTAW,0,0,0,0,0,1
AH2017.HGX,HNTAX,0,0,0,0,0,1
AH2017.HGX,HNTBC,0,0,0,0,0,1
AH2017.HGX,HNTBK,0,0,0,1,0,0
AH2017.HGX,HNTBN,0,0,0,0,0,1
AH2017.HGX,HNTP,0,0,0,0,0,1
AH2017.HGX,HNTR,0,0,0,0,0,1
AH2017.HGX,HNTS,0,0,0,0,0,1
AH2017.HGX,HNTX,1,1,1,1,1,0
AH2017.HGX,U1,1,0,0,0,0,0
AH2017.HGX,U2,1,1,1,1,1,0
